x,g
-0.034,0.035115359664
-0.032,0.032990183424
-0.03,0.03087219
-0.028,0.028761433344
-0.026,0.026657967024
-0.024,0.024561844224
-0.022,0.022473117744
-0.02,0.02039184
-0.018,0.018318063024
-0.016,0.016251838464
-0.014,0.014193217584
-0.012,0.012142251264
-0.01,0.01009899
-0.008,0.008063483904
-0.006,0.006035782704
-0.004,0.004015935744
-0.002,0.002003991984
0,-0
0.002,-0.001995992016
0.004,-0.003983936256
0.006,-0.005963785296
0.008,-0.007935492096
0.01,-0.00989901
0.012,-0.011854292736
0.014,-0.013801294416
0.016,-0.015739969536
0.018,-0.017670272976
0.02,-0.01959216
0.022,-0.021505586256
0.024,-0.023410507776
0.026,-0.025306880976
0.028,-0.027194662656
0.03,-0.02907381
0.032,-0.030944280576
0.034,-0.032806032336
0.036,-0.034659023616
0.038,-0.036503213136
0.04,-0.03833856
0.042,-0.040165023696
0.044,-0.041982564096
0.046,-0.043791141456
0.048,-0.045590716416
0.05,-0.04738125
0.052,-0.049162703616
0.054,-0.050935039056
0.056,-0.052698218496
0.058,-0.054452204496
0.06,-0.05619696
0.062,-0.057932448336
0.064,-0.059658633216
0.066,-0.061375478736
0.068,-0.063082949376
0.07,-0.06478101
0.072,-0.066469625856
0.074,-0.068148762576
0.076,-0.069818386176
0.078,-0.071478463056
0.08,-0.07312896
0.082,-0.074769844176
0.084,-0.076401083136
0.086,-0.078022644816
0.088,-0.079634497536
0.09,-0.08123661
0.092,-0.082828951296
0.094,-0.084411490896
0.096,-0.085984198656
0.098,-0.087547044816
0.1,-0.0891
0.102,-0.090643035216
0.104,-0.092176121856
0.106,-0.093699231696
0.108,-0.095212336896
0.11,-0.09671541
0.112,-0.098208423936
0.114,-0.099691352016
0.116,-0.101164167936
0.118,-0.102626845776
0.12,-0.10407936
0.122,-0.105521685456
0.124,-0.106953797376
0.126,-0.108375671376
0.128,-0.109787283456
0.13,-0.11118861
0.132,-0.112579627776
0.134,-0.113960313936
0.136,-0.115330646016
0.138,-0.116690601936
0.14,-0.11804016
0.142,-0.119379298896
0.144,-0.120707997696
0.146,-0.122026235856
0.148,-0.123333993216
0.15,-0.12463125
0.152,-0.125917986816
0.154,-0.127194184656
0.156,-0.128459824896
0.158,-0.129714889296
0.16,-0.13095936
0.162,-0.132193219536
0.164,-0.133416450816
0.166,-0.134629037136
0.168,-0.135830962176
0.17,-0.13702221
0.172,-0.138202765056
0.174,-0.139372612176
0.176,-0.140531736576
0.178,-0.141680123856
0.18,-0.14281776
0.182,-0.143944631376
0.184,-0.145060724736
0.186,-0.146166027216
